Domain,URL,Email,Telefon,Alle Emails,Alle Telefone,Zahlungsarten
"markanto.de","https://markanto.de","","+492219723920","","+492219723920; 02219723920","paypal"
"rc-modell-shop.de","https://rc-modell-shop.de","","+4936202777588","","+4936202777588; 036202777588","paypal"
"schuhe24.de","https://schuhe24.de","","01909250854","","01909250854; 09355544","paypal, klarna"
"stratic.de","https://stratic.de","","05131596090","","05131596090; 051315960939; 001807906973","paypal, stripe"
"trauringshop24.de","https://trauringshop24.de","","070867715","","070867715; 060239188536","paypal"
"alles-zum-schlafen.de","https://alles-zum-schlafen.de","","052759857","","052759857; 062770653","paypal, amazon_pay"
"bunert.de","https://bunert.de","","+4921117546800","","+4921117546800; 021117546800","paypal, stripe, amazon_pay"
"bw-discount.de","https://bw-discount.de","","004985513219857","","004985513219857; 085513219857; 004985519139835","paypal"
"copterfarm.de","https://copterfarm.de","","060073331664","","060073331664; +4960073331664; 060073331664","paypal, amazon_pay"
"duerninger.de","https://duerninger.de","","+499112342511","","+499112342511; +499112342511; +499112342511","paypal"
"frogcoffee.de","https://frogcoffee.de","","001530099","","001530099; 001530101; 001619504","paypal"
"golfshop.de","https://golfshop.de","","080246499942","","080246499942; 080246499942","paypal, klarna, amazon_pay, apple_pay"
"gradmann1864.de","https://gradmann1864.de","","0599202772905","","0599202772905; 011700749324; 069696740","paypal"
"heunert.de","https://heunert.de","","+4929216890","","+4929216890; 029216890","paypal"
"nurgutes.de","https://nurgutes.de","","+495921302790","","+495921302790","paypal, stripe"
"stoffe-werning.de","https://stoffe-werning.de","","079829171","","079829171; 009713819; +4959217139990","paypal, stripe"
"wellenshop.de","https://wellenshop.de","","+4935126561113","","+4935126561113; 035126561113; +4935126561113","paypal, amazon_pay"
