product_number	produkt_name	hersteller	stock	available_stock	active	manufacturer_number	brutto_preis	varianten	created_at
524616	Aluminium-Rundrosetten, Blindrosettenpaar, Aluminium F1 Natur	KBV	10	10	1	24616	NULL	0	2021-03-08 00:00:00.000
524620	Aluminium-Rundrosetten, WC-Rosettenpaar, Aluminium F1 Natur	KBV	2	2	1	24620	NULL	0	2021-03-08 00:00:00.000
524622	Aluminium-Rundrosetten, WC-Rosettenpaar, Aluminium F2 Neusilber	KBV	9	9	1	24622	NULL	0	2022-06-10 00:00:00.000
536001	Edelstahl-Rundrosetten, PZ-Rosettenpaar	KBV	12	12	1	36001	NULL	0	2021-03-08 00:00:00.000
536002	Edelstahl-Rundrosetten, BB-Rosettenpaar	KBV	10	10	1	536002	NULL	0	2021-03-08 00:00:00.000
536003	Edelstahl-Rundrosetten, Blindrosettenpaar	KBV	14	14	1	36003	NULL	0	2021-03-08 00:00:00.000
536004	Edelstahl-Rundrosetten, WC-Rosettenpaar	KBV	9	9	1	36004	NULL	0	2021-03-08 00:00:00.000
5365L	Individuelle Schliessanlage DOM ix Twido Nr: 5365L	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-04-29 00:00:00.000
5400EURD	Master Lock Schlüsselkasten 5400EURD mit Bügel	Master Lock	11	11	1	5400EURD	NULL	0	2019-03-13 00:00:00.000
5401EURD	Master Lock Schlüsselkasten 5401EURD, Wandhalterung	Master Lock	62	62	1	5401EURD	NULL	0	2019-03-13 00:00:00.000
5401EURDCRM	Master Lock Schlüsselkasten 5401EURDCRM, Wandmontage	Master Lock	-1	-1	1	5401EURDCRM	NULL	0	2019-03-13 00:00:00.000
5403EURD	Master Lock Schlüsselkasten 5403EURD, Wandmontage	Master Lock	7	7	1	5403EURD	NULL	0	2019-03-13 00:00:00.000
5406EURD	Master Lock Mini-Schlüsselkasten 5406EURD mit Bügel	Master Lock	7	7	1	5406EURD	NULL	0	2019-03-13 00:00:00.000
5410EURD	Master Lock Schlüsselkasten 5410EURD, Wandmontage	Master Lock	11	11	1	5410EURD	NULL	0	2025-07-31 13:07:20.244
5414EURD	Master Lock Schlüsselkasten 5414EURD für extra Sicherheit mit Bügel	Master Lock	346	346	1	5414EURD	NULL	0	2019-03-13 00:00:00.000
5415EURD	Master Lock Schlüsselkasten 5415EURD für extra Sicherheit , Wandhalterung	Master Lock	123	123	1	5415EURD	NULL	0	2019-03-13 00:00:00.000
5422EURD	Master Lock Drucktasten-Schlüsselkasten 5422EURD mit Bügel	Master Lock	9	9	1	5422EURD	NULL	0	2019-03-13 00:00:00.000
5423EURD	Master Lock Drucktasten-Schlüsselkasten 5423EURD	Master Lock	26	26	1	5423EURD	NULL	0	2019-03-13 00:00:00.000
5424EURD	Master Lock Schlüsselkasten 5424EURD mit beleuchteten Zahlenrädern und Bügel	Master Lock	157	157	1	5424EURD	NULL	0	2025-12-04 08:53:22.013
5425EURD	Master Lock Schlüsselkasten 5425EURD mit beleuchteten Zahlenrädern, Wandmontage	Master Lock	93	93	1	5425EURD	NULL	0	2019-03-13 00:00:00.000
5426EURD	Master Lock extragroßer Schlüsselkasten, Wandmontage	Master Lock	7	7	1	5426EURD	NULL	0	2019-03-13 00:00:00.000
5430EURD	Master Lock Schlüsselkasten 5430EURD	Master Lock	12	12	1	5430EURD	NULL	0	2025-07-31 14:12:31.021
5440EURD	Master Lock Schlüsselkasten 5440EURD	Master Lock	4	4	1	5440EURD	NULL	0	2020-05-09 00:00:00.000
5477AF	Individuelle Schließanlage 5477AF	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
5480EURD	Mobiler Schlüsselkasten mit abnehmbarem Bügel 5480EURD	Master Lock	6	6	1	5480EURD	NULL	0	2020-05-09 00:00:00.000
5481EURD	5481EURD Schlüsselkasten mit Wandbefestigung	Master Lock	3	3	1	5481EURD	NULL	0	2020-05-09 00:00:00.000
5482EURD	5482EURD Mobiler Schlüsselkasten mit flexiblem Kabelbügel	Master Lock	9	9	1	5482EURD	NULL	0	2020-05-09 00:00:00.000
5490EURD	Modell-Nr. 5490EURD Einziehbarer Schlüsselbund für Schlüsselkästen Select Access®	Master Lock	12	12	1	5490EURD	NULL	0	2022-03-17 00:00:00.000
550EURD	Master Lock Vorhangschloss aus Edelstahl mit verdecktem Bügel	Master Lock	9	9	1	550EURD	NULL	0	2019-10-22 00:00:00.000
55500395SC	AXA Flex Mount	AXA Bike Security	59	59	1	55500395SC	NULL	0	2023-06-12 00:00:00.000
55500495KB	AXA FIX	AXA Bike Security	15	15	1	55500495KB	NULL	0	2025-01-27 09:53:04.962
55665097KC	AXA Defender (silber)	AXA Bike Security	10	10	1	55665097KC	NULL	0	2025-08-13 11:20:41.264
55665195V405SC	AXA Defender Retractable (black)	AXA Bike Security	11	11	1	55665195V405SC	NULL	0	2025-07-15 07:30:07.770
56-774	Spaltwechselstift 8 x 80mm	NULL	0	0	0	NULL	NULL	0	2020-09-16 00:00:00.000
56-778	Spaltwechselstift 9 x 80mm	NULL	0	0	0	NULL	NULL	0	2020-09-15 00:00:00.000
56-782	Spaltwechselstift 10 x 80mm	NULL	0	0	0	NULL	NULL	0	2020-09-15 00:00:00.000
578270	Kurzschildgarnitur Kunststoff schwarz, Drückergarnitur, oval	KBV	0	0	1	78270	NULL	0	2020-09-15 00:00:00.000
578272	Kurzschildgarnitur Kunststoff schwarz, Wechselgarnitur, oval	KBV	23	23	1	78272	NULL	0	2020-09-15 00:00:00.000
578275	Kurzschildgarnitur Kunststoff schwarz, Drückergarnitur, kantig	KBV	11	11	1	78275	NULL	0	2020-09-15 00:00:00.000
578277	Kurzschildwechselgarnitur Kunststoff schwarz, mit Stahlkern und Stahl-Schildeinlage, Entfernung 72 m	KBV	10	10	1	578277	NULL	0	2020-09-15 00:00:00.000
58240056KCM	AXA Block XXL	AXA Bike Security	0	0	0	58240056KC	NULL	2	2026-01-20 11:34:29.082
586400560X05SC	AXA Imenso Large	AXA Bike Security	41	41	1	586400560X05SC	NULL	0	2024-10-24 06:34:07.832
587400560X05SC	AXA Imenso Large Retractable	AXA Bike Security	20	20	1	587400560X05SC	NULL	0	2023-06-12 00:00:00.000
588400560X05	AXA Imenso X Large	AXA Bike Security	20	20	1	588400560X05SC	NULL	0	2024-10-24 08:43:53.953
589400560X05SC	AXA Imenso X Large Retractable	AXA Bike Security	16	16	1	589400560X05SC	NULL	0	2023-06-12 00:00:00.000
59000099	AXA Lock Spray	AXA Bike Security	37	37	1	59000099	NULL	0	2023-06-12 00:00:00.000
59003996KS	AXA CHAIN PROCARAT+ NEO 105*10,5 BLACK	AXA Bike Security	18	18	1	59003996KS	NULL	0	2025-07-22 11:12:32.188
59004795SS	AXA LINQ ART 180CM / 9,5MM	AXA Bike Security	13	13	1	59004795SS	NULL	0	2023-06-12 00:00:00.000
5900EURDWHT	Master Lock 5900EURDWHT kleiner Verriegelungskasten mit Kabel	Master Lock	14	14	1	5900EURDWHT	NULL	0	2019-03-13 00:00:00.000
59091195SS	AXA Absolute 9-110	AXA Bike Security	2	2	1	59091195SS	NULL	0	2023-06-12 00:00:00.000
593EJ	Individuelle Schliessanlage  Winkhaus X-TRA Nr: 593EJ	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-12-29 00:00:00.000
59500596SC	AXA Floor Anchor	AXA Bike Security	13	13	1	59500596SC	NULL	0	2023-06-12 00:00:00.000
59514495SC	AXA Defender + RLC 100 + bag set	AXA Bike Security	0	0	0	59514495SC	NULL	0	2023-06-12 00:00:00.000
59514595SC	AXA Defender + RLC 140 + bag set	AXA Bike Security	0	0	0	59514595SC	NULL	0	2023-06-12 00:00:00.000
59515895KC	AXA SET BLOCK XXL  + ULC 130 + BAG / non retractable key	AXA Bike Security	0	0	0	59515895KC	NULL	0	2025-07-22 11:42:21.550
59515895SC	AXA Block XXL + ULC 100 + bag set	AXA Bike Security	30	30	1	59515895SC	NULL	0	2023-06-12 00:00:00.000
59516095KC	AXA SET BLOCK XXL  RETR. + ULC 130 + BAG	AXA Bike Security	0	0	1	59516095KC	NULL	0	2025-03-05 10:56:06.980
59516295KC	AXA SET IMENSO XL RETR  + ULC 130 + BAG	AXA Bike Security	4	4	1	59516295KC	NULL	0	2025-03-05 08:48:47.952
59516295SC	AXA Imenso X Large Retractable + ULC 130 + bag set	AXA Bike Security	-1	-1	0	59516295SC	NULL	0	2023-06-12 00:00:00.000
59516495KC	AXA SET IMENSO L RETR + ULC 130 + BAG	AXA Bike Security	23	23	1	59516495KC	NULL	0	2025-03-05 10:24:25.155
59559395KC	AXA Satteltasche	AXA Bike Security	6	6	1	59559395KC	NULL	0	2025-03-04 12:55:08.848
59571095KC	AXA ULC 5.5-100+BAG	AXA Bike Security	27	27	1	59571095KC	NULL	0	2025-03-04 14:32:58.774
59571095KS	AXA ULC 5,5-100 Einsteckkette 	AXA Bike Security	30	30	1	59571095KS	NULL	0	2025-11-06 11:59:22.048
59571095SS	AXA Einsteckkette 100 / 5,5	AXA Bike Security	0	0	0	59571095SS	NULL	0	2023-06-12 00:00:00.000
59571395KC	AXA ULC 130/5,5 (in Satteltasche)	AXA Bike Security	10	10	1	59571395KC	NULL	0	2025-03-04 13:25:14.591
59571395KS	AXA Einsteckkette 130 / 5,5	AXA Bike Security	-1	-1	1	59571395KS	NULL	0	2025-11-06 12:32:57.178
59571395SS	AXA Einsteckkette 130 / 5,5	AXA Bike Security	42	42	1	59571395SS	NULL	0	2023-06-12 00:00:00.000
59572595KS	AXA Einsteckkette 100 / 8	AXA Bike Security	47	47	1	59572595KS	NULL	0	2025-11-06 12:15:03.706
59572595SS	AXA Einsteckkette 100 / 8,5	AXA Bike Security	0	0	0	59572595SS	NULL	0	2023-06-12 00:00:00.000
59800295SB	AXA Foldable 600 (grey)	AXA Bike Security	12	12	1	59800295SB	NULL	0	2023-06-12 00:00:00.000
59800495SB	AXA Foldable 800 (grey)	AXA Bike Security	24	24	1	59800495SB	NULL	0	2023-06-12 00:00:00.000
59800595SB	AXA Foldable 1000	AXA Bike Security	16	16	1	59800595SB	NULL	0	2023-06-12 00:00:00.000
59802395KB	AXA Foldable 8-100	AXA Bike Security	10	10	1	59802395KB	NULL	0	2025-01-24 10:55:58.895
59802495KB	AXA Foldable 8-130	AXA Bike Security	16	16	1	59802495KB	NULL	0	2025-01-24 11:47:41.045
59802595KB	AXA Foldable 10-105	AXA Bike Security	12	12	1	59802595KB	NULL	0	2025-01-24 12:13:01.383
59831095SB	AXA Fold Ultra 90	AXA Bike Security	0	0	1	59831095SB	NULL	0	2024-11-21 14:49:27.775
59840895KB	AXA FOLD LITE 80	AXA Bike Security	17	17	1	59840895KB	NULL	0	2025-11-06 13:06:34.331
59840895SC	AXA FOLD LITE 80	AXA Bike Security	0	0	0	59840895SC	NULL	0	2023-06-12 00:00:00.000
59840995SC	AXA FOLD LITE 80 DUO PACK	AXA Bike Security	6	6	1	59840995SC	NULL	0	2025-03-04 15:05:10.281
59841095SC	AXA FOLD LITE 100	AXA Bike Security	10	10	1	59841095SC	NULL	0	2023-06-12 00:00:00.000
59842095SC	AXA FOLD LITE CODE 100	AXA Bike Security	62	62	1	59842095SC	NULL	0	2023-06-12 00:00:00.000
59870095KC	AXA ZIPPER	AXA Bike Security	53	53	1	59870095KC	NULL	0	2025-03-04 15:51:20.179
5CW7I4	Individuelle Schließanlage 5CW7I4	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
5EKR9	Individuelle Schliessanlage DOM Twinstar Nr: 5EKR9	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2022-07-26 00:00:00.000
5F49V4	Individuelle Schließanlage 5F49V4	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
5IED17	Individuelle Schließanlage 5IED17	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
5JMD7	Individuelle Schliessanlage DOM RS Sigma plus Nr: 5JMD7	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2022-10-10 00:00:00.000
5K4H7L	Individuelle Schließanlage 5K4H7L	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
5KHUP	Individuelle Schliessanlage DOM ix Twido Nr: 5KHUP	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-05-06 00:00:00.000
5LDNVB	Individuelle Schließanlage 5LDNVB	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
5LDS0I	Individuelle Schließanlage 5LDS0I	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
5MPU4	Individuelle Schliessanlage DOM ix Twido Nr: 5MPU4	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-11-29 00:00:00.000
5NOTM	Individuelle Schliessanlage  Winkhaus X-TRA Nr: 5NOTM	Becker Sicherheitstechnik GmbH	-2	-2	1	NULL	NULL	0	2023-09-08 00:00:00.000
5PP97W	Individuelle Schließanlage 5PP97W	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
5UISGT	Individuelle Schließanlage 5UISGT	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
5XYATZ	Individuelle Schließanlage 5XYATZ	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
5Z5OP9	Individuelle Schließanlage 5Z5OP9	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
5ZVZOU	Individuelle Schließanlage 5ZVZOU	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
606EURD	Master Lock Vorhangschloss 606EURD aus Massivmessing	Master Lock	4	4	1	606EURD	NULL	0	2019-10-22 00:00:00.000
607EURD	Master Lock Vorhangschloss 607EURD aus Massivmessing	Master Lock	4	4	1	607EURDCC	NULL	0	2020-05-27 00:00:00.000
608EURD	Master Lock Vorhangschloss 608EURD aus Massivmessing	Master Lock	5	5	1	608EURD	NULL	0	2019-10-22 00:00:00.000
6121EURDLJ	Master Lock Vorhangschloss 6121EURDLJ	Master Lock	5	5	1	6121EURDLJ	NULL	0	2019-10-22 00:00:00.000
6127EURD	Master Lock Vorhangschloss 6127EURD	Master Lock	1	1	1	6127EURD	NULL	0	2019-10-22 00:00:00.000
612Y1Y	Individuelle Schließanlage 612Y1Y	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
629EURQ	Master Lock Vorhangschloss 629EURQ aus vernickeltem Massivmessing, 4 Stück gleichschließend	Master Lock	4	4	1	629EURQ	NULL	0	2019-10-22 00:00:00.000
62CTNJ	Individuelle Schließanlage 62CTNJ	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
6321EURD	Master Lock Vorhangschloss 6321EURD	Master Lock	1	1	1	6321EURD	NULL	0	2019-10-22 00:00:00.000
6327EURD	Master Lock Vorhangschloss 6327EURD	Master Lock	0	0	1	6327EURD	NULL	0	2019-10-22 00:00:00.000
639EURD	Master Lock Vorhangschloss 639EURD aus vernickeltem Massivmessing	Master Lock	2	2	1	639EURD	NULL	0	2019-10-22 00:00:00.000
639EURDLJ	Master Lock Vorhangschloss 639EURDLJ aus vernickeltem Massivmessing mit 64 mm hohem Bügel	Master Lock	4	4	1	639EURDLJ	NULL	0	2019-10-22 00:00:00.000
640EURD	Master Lock Vorhangschloss 640EURD aus vernickeltem Massivmessing	Master Lock	3	3	1	640EURD	NULL	0	2019-10-22 00:00:00.000
640EURDLH	Master Lock Vorhangschloss 640EURDLJ aus vernickeltem Massivmessing mit 52 mm hohem Bügel	Master Lock	0	0	1	640EURDLH	NULL	0	2019-10-22 00:00:00.000
64172	Abus BORDO GRANIT™ XPlus™ 6500KA/90 black SH gl. OneKey	Abus	0	0	0	64172	NULL	0	2023-03-23 00:00:00.000
6704	Garagenknebel abschließbar, Vierkant 120 mm, verschiedenschließend	Malte Block	23	23	0	50121L	NULL	0	2021-03-11 00:00:00.000
680EURD	Master Lock Vorhangschloss 680EURD aus gehärtetem Stahl mit Panzergehäuse und verdecktem Bügel	Master Lock	8	8	1	680EURD	NULL	0	2019-10-22 00:00:00.000
690EURD	Master Lock Vorhangschloss 690EURD aus gehärtetem Stahl mit Panzergehäuse und verdecktem Bügel	Master Lock	1	1	1	690EURD	NULL	0	2019-10-22 00:00:00.000
694GD	Individuelle Schliessanlage DOM RS Sigma plus Nr: 694GD	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-10-29 00:00:00.000
6BCMV	Individuelle Schliessanlage DOM RS Sigma plus Nr: 6BCMV	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-02-01 00:00:00.000
6DFA6	Individuelle Schliessanlage DOM ix Twido Nr: 6DFA6	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-11-04 00:00:00.000
6DQD5Q	Individuelle Schließanlage 6DQD5Q	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
6H2H3	Individuelle Schliessanlage DOM ix Twido Nr: 6H2H3	Becker Sicherheitstechnik GmbH	-2	-2	1	NULL	NULL	0	2023-08-27 00:00:00.000
6HECN9	Individuelle Schließanlage 6HECN9	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
6JSQM	Individuelle Schliessanlage DOM Twinstar Nr: 6JSQM	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2022-05-23 00:00:00.000
6L1M4	Individuelle Schliessanlage DOM ix Twido Nr: 6L1M4	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-09-03 00:00:00.000
6QEL9F	Individuelle Schließanlage 6QEL9F	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
6QL1F	Individuelle Schliessanlage DOM Twinstar Nr: 6QL1F	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-06-07 00:00:00.000
6RBO0L	Individuelle Schließanlage 6RBO0L	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
6REQM	Individuelle Schliessanlage DOM RS Sigma plus Nr: 6REQM	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-07-27 00:00:00.000
6T0HW	Individuelle Schliessanlage DOM RS Sigma plus Nr: 6T0HW	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-08-14 00:00:00.000
6TGQ5	Individuelle Schliessanlage DOM RS Sigma plus Nr: 6TGQ5	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-09-28 00:00:00.000
6UXLT	Individuelle Schliessanlage DOM ix Twido Nr: 6UXLT	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-08-13 00:00:00.000
6VGWY	Individuelle Schliessanlage DOM ix Twido Nr: 6VGWY	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-08-08 00:00:00.000
6XRXJ	Individuelle Schliessanlage  Winkhaus X-TRA Nr: 6XRXJ	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-06-19 00:00:00.000
6Y2RA	Individuelle Schliessanlage DOM ix Twido Nr: 6Y2RA	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-09-21 00:00:00.000
706EURD	Master Lock Schließbügel 706EURD aus hartem Schmiedestahl mit Verschlussöse aus Borlegierung	Master Lock	18	18	1	706EURD	NULL	0	2019-10-22 00:00:00.000
70ANSV	Individuelle Schließanlage 70ANSV	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
710300M	BASI BK 100M	BASI	1	1	1	2170-1300	NULL	2	2025-02-13 12:24:21.744
710641NEUANLAGE	Hausbriefkasten, inkl. Zylinderschloss mit 2 Schlüsseln und Namensschild, silberfarbig	BASI	3	3	0	2170-0641	NULL	0	2021-03-08 00:00:00.000
710662	BASI BK 900	BASI	3	3	1	2170-0662	NULL	0	2025-02-13 12:08:03.569
7147EURD	Master Lock kleine Dokumentenkassette 7147EURD	Master Lock	-1	-1	0	7147EURD	NULL	0	2019-03-13 00:00:00.000
7149EURD	Master Lock große Dokumentenkassette 7149EURD	Master Lock	-1	-1	1	7149EURD	NULL	0	2019-03-13 00:00:00.000
720EURD	Master Lock Schließbügel 720EURD aus gehärtetem Stahl mit Scharnier	Master Lock	1	1	1	720EURD	NULL	0	2019-10-22 00:00:00.000
72130-7	FH-Drückerlochteil auf ovaler Rosette, weiß RAL 9016	BKS	0	0	0	NULL	NULL	0	2022-06-10 00:00:00.000
72130-8	FH-Drückerlochteil auf ovaler Rosette, Edelstahl	BKS	0	0	0	NULL	NULL	0	2021-03-08 00:00:00.000
723EURD	Master Lock Stahlgussgehäuse 723EURD mit Verschlussöse aus Borlegierung	Master Lock	2	2	0	723EURD	NULL	0	2019-10-22 00:00:00.000
725EURD	Master Lock Stahlgehäuse 725EURD mit integriertem Verschlussmechanismus	Master Lock	2	2	1	725EURD	NULL	0	2019-10-22 00:00:00.000
72EURD	Master Lock 4,5 m Schlaufenkabel 72EURD, 10 mm Durchmesser	Master Lock	4	4	1	72EURD	NULL	0	2019-03-13 00:00:00.000
72V3M	Individuelle Schliessanlage DOM RS Sigma plus Nr: 72V3M	Becker Sicherheitstechnik GmbH	-2	-2	1	NULL	NULL	0	2024-02-28 00:00:00.000
7335UM	Individuelle Schließanlage 7335UM	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
736EURD	Master Lock 736EURD schwerer Überwurf + Vorhängeschloss	Master Lock	6	6	1	NULL	NULL	0	2019-10-22 00:00:00.000
73T6ZS	Individuelle Schließanlage 73T6ZS	NULL	0	0	1	NULL	NULL	0	2024-01-01 08:17:05.000
7411-10------00	effeff ASSA ABLOY EXITAlarm - Sicherheit am Notausgang	effeff ASSA ABLOY	1	1	1	7411-10------00	NULL	0	2020-09-09 00:00:00.000
75CYTS	Individuelle Schließanlage 75CYTS	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
7640EURD	Master Lock Vorhangschloss 7640EURD mit Aluminiumgehäuse und individuell einstellbarer Zahlenkombina	Master Lock	0	0	1	7640EURD	NULL	0	2019-10-22 00:00:00.000
7640EURDBLK	Master Lock Vorhangschloss 7640EURDBLK mit individuell einstellbarer Zahlenkombination	Master Lock	1	1	1	7640EURDBLK	NULL	0	2019-10-22 00:00:00.000
7640EURDBLKLH	Master Lock Vorhangschloss 7640EURDBLKLK mit individuell einstellbarer Zahlenkombination und 51 mm h	Master Lock	5	5	1	7640EURDBLKLH	NULL	0	2019-10-22 00:00:00.000
779DH	Individuelle Schliessanlage DOM ix Twido Nr: 779DH	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-08-13 00:00:00.000
7804EURD	Master Lock Vorhangschloss 7804EURD aus beschichtetem Stahl mit Stiftzuhaltung und Abdeckung	Master Lock	4	4	1	7804EURD	NULL	0	2019-10-22 00:00:00.000
7804EURT	Master Lock Vorhangschloss 7804EURD aus beschichtetem Stahl mit Stiftzuhaltung und Abdeckung, 2 Stüc	Master Lock	2	2	1	7804EURT	NULL	0	2019-10-22 00:00:00.000
79XQL	Individuelle Schliessanlage DOM ix Twido Nr: 79XQL	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-03-04 00:00:00.000
7BAVF7	Individuelle Schließanlage 7BAVF7	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
7F1ZU	Individuelle Schliessanlage DOM ix Twido Nr: 7F1ZU	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-03-07 00:00:00.000
7GPZLS	Individuelle Schließanlage 7GPZLS	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
7GRK8N	Individuelle Schließanlage 7GRK8N	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
7KG34T	Individuelle Schließanlage 7KG34T	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
7KHR2T	Individuelle Schließanlage 7KHR2T	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
7MDHF	Individuelle Schliessanlage DOM ix Twido Nr: 7MDHF	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-07-06 00:00:00.000
7N8DK	Individuelle Schliessanlage DOM ix Twido Nr: 7N8DK	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-06-27 00:00:00.000
7NRVU	Individuelle Schliessanlage  Winkhaus X-TRA Nr: 7NRVU	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-07-11 00:00:00.000
7OEL4Q	Individuelle Schließanlage 7OEL4Q	NULL	1	1	1	NULL	NULL	0	2024-01-01 08:17:05.000
7RRFK	Individuelle Schliessanlage DOM RS Sigma plus Nr: 7RRFK	Becker Sicherheitstechnik GmbH	-2	-2	1	NULL	NULL	0	2024-09-08 00:00:00.000
7TVLK	Individuelle Schliessanlage  Winkhaus X-TRA Nr: 7TVLK	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-10-27 00:00:00.000
7WIJ2	Individuelle Schliessanlage DOM RS Sigma plus Nr: 7WIJ2	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-08-25 00:00:00.000
7WS68	Individuelle Schliessanlage DOM Twinstar Nr: 7WS68	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2023-08-12 00:00:00.000
7ZIRU	Individuelle Schliessanlage  Winkhaus X-TRA Nr: 7ZIRU	Becker Sicherheitstechnik GmbH	0	0	1	NULL	NULL	0	2024-04-03 00:00:00.000
8012EURD	Master Lock 8012EURD Stahlkette	Master Lock	12	12	1	8012EURD	NULL	0	2023-03-29 00:00:00.000
8016EURD	Master Lock 8016EURD 1 m Kette aus gehärtetem Stahl mit 8 mm Durchmesser	Master Lock	2	2	1	8016EURD	NULL	0	2019-03-13 00:00:00.000
8017EURD	Master Lock 8017EURD Stahlkette	Master Lock	4	4	1	8017EURD	NULL	0	2023-03-29 00:00:00.000
8018EURD	Master Lock 8018EURD Stahlkette	Master Lock	1	1	1	8018EURD	NULL	0	2019-03-13 00:00:00.000
8020EURD	Master Lock 8020EURD Stahlkette	Master Lock	4	4	1	8020EURD	NULL	0	2023-03-29 00:00:00.000
8021EURD	Master Lock 8021EURD Stahlkette	Master Lock	1	1	1	8021EURD	NULL	0	2023-03-29 00:00:00.000
8022EURD	Master Lock 8022EURD Kettenschloss mit eingebautem Schließzylinder, 60 cm, Schlüssel und Kette aus g	Master Lock	1	1	0	8022EURD	NULL	0	2019-03-13 00:00:00.000
811360	Türspionverlängerung, 20 mm	BMB	22	22	1	811360	NULL	0	2020-09-15 00:00:00.000
811370	Sichtschutzblende für Türspion	BMB	27	27	0	NULL	NULL	0	2020-09-15 00:00:00.000
8115EURDPS	Master lock 8115EURDPS Gepanzertes Kabelschloss mit Schlüssel 1,2 m lang	Master Lock	-1	-1	0	8115EURDPS	NULL	0	2019-03-13 00:00:00.000
8120EURDPRO	Master Lock 8120EURDPRO Kabelschloss mit individuell einstellbarem Zahlenschloss 1,8 m lang	Master Lock	6	6	1	8120EURDPRO	NULL	0	2019-03-13 00:00:00.000
8121EURDPRO	Master Lock 8121EURDPRO Kabelschloss mit Schlüssel 1,8 m	Master Lock	4	4	0	8121EURDPRO	NULL	0	2019-03-13 00:00:00.000
8130EURDPRO	Master Lock 8130EURDPRO Kabelschloss mit Schlüssel 1,8 m	Master Lock	3	3	1	8130EURDPRO	NULL	0	2019-03-13 00:00:00.000
8170EURDPRO	Master Lock 8170EURDPRO Bügelschloss aus gehärtetem Stahl	Master Lock	6	6	1	8170EURDPRO	NULL	0	2019-03-13 00:00:00.000
8180	Flachschließblech für elektrische Türöffner	effeff ASSA ABLOY	0	0	0	NULL	NULL	0	2020-09-09 00:00:00.000
